,Model,Num_Layers,AdaEdge,RemovalRate,AdditionRate,MAD,MADGap,MADReg,Accuracy,Energy
129,EnhancedGAT,3,True,0.0001 ± 0.0001,0.5398 ± 0.0723,0.0000 ± 0.0000,0.0001 ± 0.0000,0.01,0.3426 ± 0.1221,0.00037617228226736186
130,EnhancedGAT,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0001 ± 0.0000,0.0001 ± 0.0000,0.1,0.5418 ± 0.1895,0.00029360621119849383
131,EnhancedGAT,3,True,0.0001 ± 0.0001,0.5016 ± 0.0980,0.0000 ± 0.0000,0.0001 ± 0.0000,0.1,0.4184 ± 0.1819,0.0003208987996913493
132,EnhancedGAT,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.1796 ± 0.1126,2.9081659249641234e-06
133,EnhancedGAT,4,True,0.0000 ± 0.0000,0.6143 ± 0.0642,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.1500 ± 0.0120,3.486997547952342e-06
134,EnhancedGAT,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.01,0.1590 ± 0.0399,2.4584317770859345e-06
135,EnhancedGAT,4,True,0.0000 ± 0.0000,0.6400 ± 0.0156,0.0000 ± 0.0000,0.0000 ± 0.0000,0.01,0.1444 ± 0.0123,3.803619642894773e-06
136,EnhancedGAT,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.1942 ± 0.0890,3.300956541352207e-06
137,EnhancedGAT,4,True,0.0000 ± 0.0000,0.6144 ± 0.0250,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.1640 ± 0.1203,3.5354699321032966e-06
138,EnhancedGAT,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.1546 ± 0.0952,2.305825059778499e-08
139,EnhancedGAT,5,True,0.0000 ± 0.0000,0.6478 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.1360 ± 0.0674,2.892564303635936e-08
140,EnhancedGAT,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.01,0.1332 ± 0.0958,3.5171018097912565e-08
141,EnhancedGAT,5,True,0.0000 ± 0.0000,0.6478 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.01,0.1030 ± 0.0390,3.041941418757688e-08
142,EnhancedGAT,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.1190 ± 0.0272,3.797087373413888e-08
143,EnhancedGAT,5,True,0.0000 ± 0.0000,0.6478 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.1792 ± 0.1148,1.3460622838579184e-08
144,EnhancedGAT,6,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,-0.0000 ± 0.0000,0.0,0.1190 ± 0.0249,3.0719691790359606e-10
145,EnhancedGAT,6,True,0.0000 ± 0.0000,0.6478 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.1214 ± 0.0225,2.7589299456121095e-10
146,EnhancedGAT,6,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,-0.0000 ± 0.0000,0.01,0.1362 ± 0.0952,3.141908067050281e-10
147,EnhancedGAT,6,True,0.0000 ± 0.0000,0.6478 ± 0.0000,-0.0000 ± 0.0000,-0.0000 ± 0.0000,0.01,0.0864 ± 0.0330,2.423531653139577e-10
148,EnhancedGAT,6,False,0.0000 ± 0.0000,0.0000 ± 0.0000,-0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.1330 ± 0.0809,3.953265825806795e-10
149,EnhancedGAT,6,True,0.0000 ± 0.0000,0.6415 ± 0.0126,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.0904 ± 0.0250,4.0399171230554033e-10
